"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-29","3.80",",,W",,,"0.02",",,W,2400","0.0","T,,W,","5.9",",,W,",,,"36",",,W","19",",,W",,,"  190",",,W","  180",",,W","14.1",",,W","19.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-30","10.51",",,W",,,"0.06",",,W,2400","1.0",",,W,","7.1",",,W,",,,"38",",,W","19",",,W",,,"  310",",,W","  300",",,W","21.9",",,W","36.0",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-01-31","12.30",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.1",",,W,",,,"26",",,W","13",",,W",,,"  310",",,W","  290",",,W","23.9",",,W","44.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-01","3.80",",,W",,,"0.03",",,W,2400","0.3",",,W,","5.9",",,W,",,,"36",",,W","20",",,W",,,"  250",",,W","  260",",,W","12.1",",,W","17.0",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-02","9.84",",,W",,,"1.02",",,W,2400","5.0",",,W,","7.1",",,W,",,,"34",",,W","14",",,W",,,"   70",",,W","  310",",,W","21.9",",,W","32.0",",,W","    1",",,W","    1",",,W",,,,,"    1",",,W","    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-03","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.9",",,W,",,,"26",",,W","13",",,W",,,"  310",",,W","  310",",,W","17.0",",,W","27.1",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-04","4.25",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.9",",,W,",,,"43",",,W","24",",,W",,,"  260",",,W","  250",",,W","13.0",",,W","19.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-05","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.9",",,W,",,,"42",",,W","14",",,W",,,"  360",",,W","  310",",,W","19.9",",,W","30.0",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-06","7.16",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.9",",,W,",,,"27",",,W","12",",,W",,,"  270",",,W","  240",",,W","17.0",",,W","25.9",",,W",,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-07","3.80",",,W",,,"0.02",",,W,2400","0.0","T,,W,","7.9",",,W,",,,"40",",,W","25",",,W",,,"  260",",,W","  250",",,W","12.1",",,W","18.1",",,W",,,,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-08","8.50",",,W",,,"0.00",",,W,2400","0.0",",,W,","7.9",",,W,",,,"37",",,W","29",",,W",,,"   70",",,W","   60",",,W","18.1",",,W","25.9",",,W","    1",",,W",,,,,,,,,"    1",",,W"
"USW00094728","NY CITY CENTRAL PARK, NY US","40.77898","-73.96925","42.7","2015-02-09","10.96",",,W",,,"0.09",",,W,2400","0.0","T,,W,","7.9",",,W,",,,"29",",,W","25",",,W",,,"   60",",,W","   50",",,W","19.9",",,W","29.1",",,W",,,,,,,,,,,"    1",",,W"
